platform,Title,Score,compatibility,link,user score,release date,Price,price charting id,,release year,score tier,score pctl,price tier,price pctl,points per dollar,ppd 69,
3ds,Kingdom Hearts 3D: Dream Drop Distance,75,,https://www.metacritic.com/game/3ds/kingdom-hearts-3d-dream-drop-distance,8.4,"Jun 5, 2012",,,,2012,,,,,,,
3ds,Bit.Trip Saga,75,,https://www.metacritic.com/game/3ds/bittrip-saga,7.9,"Sep 13, 2011",,,,2011,,,,,,,
3ds,Inazuma Eleven Go: Shadow,75,,https://www.metacritic.com/game/3ds/inazuma-eleven-go-shadow,7.1,"Jun 13, 2014",,,,2014,,,,,,,
3ds,Ridge Racer 3D,75,,https://www.metacritic.com/game/3ds/ridge-racer-3d,7.4,"Mar 22, 2011",,,,2011,,,,,,,
3ds,Nano Assault,75,,https://www.metacritic.com/game/3ds/nano-assault,7.7,"Dec 5, 2011",,,,2011,,,,,,,
3ds,The Denpa Men 3: The Rise of Digitoll,75,,https://www.metacritic.com/game/3ds/the-denpa-men-3-the-rise-of-digitoll,7.9,"May 8, 2014",,,,2014,,,,,,,
3ds,Pokemon Picross,75,,https://www.metacritic.com/game/3ds/pokemon-picross,7.5,"Dec 3, 2015",,,,2015,,,,,,,
3ds,escapeVektor,75,,https://www.metacritic.com/game/3ds/escapevektor,7.6,"Dec 20, 2012",,,,2012,,,,,,,
3ds,NightSky,75,,https://www.metacritic.com/game/3ds/nightsky,7.6,"Oct 25, 2012",,,,2012,,,,,,,
3ds,Hakuoki: Memories of the Shinsengumi,75,,https://www.metacritic.com/game/3ds/hakuoki-memories-of-the-shinsengumi,7.6,"Sep 19, 2013",,,,2013,,,,,,,
3ds,Inazuma Eleven Go: Light,74,,https://www.metacritic.com/game/3ds/inazuma-eleven-go-light,7.6,"Jun 13, 2014",,,,2014,,,,,,,
3ds,Tetris Axis,74,,https://www.metacritic.com/game/3ds/tetris-axis,7.1,"Oct 2, 2011",,,,2011,,,,,,,
3ds,The Alliance Alive,74,,https://www.metacritic.com/game/3ds/the-alliance-alive,8.1,"Mar 27, 2018",,,,2018,,,,,,,
3ds,Story of Seasons: Trio of Towns,74,,https://www.metacritic.com/game/3ds/story-of-seasons-trio-of-towns,8.1,"Feb 28, 2017",,,,2017,,,,,,,
3ds,Harvest Moon 3D: A New Beginning,74,,https://www.metacritic.com/game/3ds/harvest-moon-3d-a-new-beginning,7.7,"Nov 6, 2012",,,,2012,,,,,,,
3ds,3D Thunder Blade,74,,https://www.metacritic.com/game/3ds/3d-thunder-blade,7.1,"May 14, 2015",,,,2015,,,,,,,
3ds,Nano Assault EX,74,,https://www.metacritic.com/game/3ds/nano-assault-ex,7.6,"Mar 7, 2013",,,,2013,,,,,,,
3ds,Luigi's Mansion,74,,https://www.metacritic.com/game/3ds/luigis-mansion,8,"Oct 12, 2018",,,,2018,,,,,,,
3ds,Yumi's Odd Odyssey,74,,https://www.metacritic.com/game/3ds/yumis-odd-odyssey,7.7,"Mar 20, 2014",,,,2014,,,,,,,
3ds,Shin Megami Tensei: Devil Summoner - Soul Hackers,74,,https://www.metacritic.com/game/3ds/shin-megami-tensei-devil-summoner---soul-hackers,3.9,"Apr 16, 2013",,,,2013,,,,,,,
3ds,Sakura Samurai: Art of the Sword,74,,https://www.metacritic.com/game/3ds/sakura-samurai-art-of-the-sword,7.3,"Feb 2, 2012",,,,2012,,,,,,,
3ds,Marvel Pinball 3D,74,,https://www.metacritic.com/game/3ds/marvel-pinball-3d,7.7,"Jun 28, 2012",,,,2012,,,,,,,
3ds,Culdcept Revolt,74,,https://www.metacritic.com/game/3ds/culdcept-revolt,7.6,"Oct 3, 2017",,,,2017,,,,,,,
3ds,Super Mario Maker for Nintendo 3DS,73,,https://www.metacritic.com/game/3ds/super-mario-maker-for-nintendo-3ds,6.3,"Dec 2, 2016",,,,2016,,,,,,,
3ds,Chicken Wiggle,73,,https://www.metacritic.com/game/3ds/chicken-wiggle,6.6,"Aug 17, 2017",,,,2017,,,,,,,
3ds,Yo-kai Watch 2: Psychic Specters,73,,https://www.metacritic.com/game/3ds/yo-kai-watch-2-psychic-specters,8.1,"Sep 29, 2017",,,,2017,,,,,,,
3ds,Sega 3D Classics Collection,73,,https://www.metacritic.com/game/3ds/sega-3d-classics-collection,7.5,"Apr 26, 2016",,,,2016,,,,,,,
3ds,Xeodrifter,73,,https://www.metacritic.com/game/3ds/xeodrifter,6.7,"Dec 11, 2014",,,,2014,,,,,,,
